Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,81947503,10497.596951836196,3717947,470046,1808041,231.61273980971535,70443,9921,
United States of America,Americas,19346790,58449.05,1035385,0,335789,1014.46,12262,0,Community transmission
India,South-East Asia,10286709,7454.11,139864,20035,148994,107.97,1902,256,Clusters of cases
Brazil,Americas,7619200,35845.04,253683,55649,193875,912.1,4655,1194,Community transmission
Russian Federation,Europe,3186336,21834.02,193630,27039,57555,394.39,3896,536,Clusters of cases
France,Europe,2576420,39471.14,91545,19712,64254,984.38,2362,250,Community transmission
The United Kingdom,Europe,2488784,36661.22,300193,55892,73512,1082.87,3887,964,Community transmission
Italy,Europe,2107166,34851.18,97849,23477,74159,1226.54,3259,555,Clusters of cases
Spain,Europe,1893502,40498.58,28774,0,50442,1078.86,319,0,Community transmission
Germany,Europe,1742661,20799.46,130013,22924,33624,401.32,4442,553,Clusters of cases
Colombia,Americas,1626461,31964.79,81635,11639,42909,843.29,1736,289,Community transmission
Argentina,Americas,1613928,35709.71,50063,11765,43163,955.02,849,145,Community transmission
Mexico,Americas,1413935,10966.45,63856,12406,124897,968.7,4586,1052,Community transmission
Turkey,Europe,1394314,16532.24,107940,14380,20881,247.58,1766,239,Community transmission
Poland,Europe,1305774,34501.74,56695,10896,28956,765.09,1964,402,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1225143,14586.26,41961,6390,55223,657.47,915,128,Community transmission
Ukraine,Europe,1064479,24339.98,52312,9432,18680,427.13,1099,147,Community transmission
South Africa,Africa,1057561,17831.47,88998,18400,28469,480.01,2486,436,Community transmission
Peru,Americas,1012614,30711.47,8632,2118,37621,1141,304,47,Community transmission
Netherlands,Europe,797516,46543.45,64775,9719,11439,667.59,611,109,Community transmission
Indonesia,South-East Asia,743198,2717.13,50360,8074,22138,80.94,1549,194,Community transmission
Czechia,Europe,732022,68355.9,67159,13361,11711,1093.57,852,131,Community transmission
Belgium,Europe,646496,55782.31,8617,3,19528,1684.96,399,17,Community transmission
Romania,Europe,632263,32865.85,23702,4322,15767,819.59,855,171,Community transmission
Chile,Americas,608973,31856.38,15663,3023,16608,868.79,305,109,Community transmission
Iraq,Eastern Mediterranean,595291,14799.95,6488,849,12813,318.55,69,5,Community transmission
Canada,Americas,572982,15181.49,44628,7476,15472,409.94,875,94,Community transmission
Bangladesh,South-East Asia,513510,3118.05,7408,1014,7559,45.9,181,28,Community transmission
Pakistan,Eastern Mediterranean,479715,2171.71,14645,2475,10105,45.75,437,58,Clusters of cases
Philippines,Western Pacific,474064,4326.15,8340,1532,9244,84.36,189,14,Community transmission
Switzerland,Europe,450075,52004,23876,4360,7049,814.48,541,77,Community transmission
Morocco,Eastern Mediterranean,439193,11898.84,13329,1861,7388,200.16,258,33,Clusters of cases
Sweden,Europe,437379,43308,29948,0,8727,864.12,118,0,Community transmission
Portugal,Europe,413678,40569.76,26042,7627,6906,677.28,493,76,Clusters of cases
Israel,Europe,408277,47169.47,19737,0,3278,378.72,107,0,Community transmission
Saudi Arabia,Eastern Mediterranean,362741,10419.44,1016,140,6223,178.75,64,9,Sporadic cases
Austria,Europe,359362,39900.75,14011,3011,6131,680.74,459,45,Community transmission
Serbia,Europe,337923,48525.91,21579,2932,3211,461.1,329,48,Community transmission
Hungary,Europe,325278,33671.45,11114,2764,9667,1000.69,834,130,Community transmission
Jordan,Eastern Mediterranean,294494,28863.09,10804,1427,3834,375.77,153,19,Community transmission
Nepal,South-East Asia,260593,8943.77,4001,534,1856,63.7,48,9,Clusters of cases
Panama,Americas,242744,56258.89,22483,4465,3975,921.25,311,42,Community transmission
Japan,Western Pacific,234395,1853.27,24415,4091,3460,27.36,355,46,Clusters of cases
Georgia,Europe,228410,57257.57,9686,990,2528,633.72,215,23,Community transmission
Azerbaijan,Europe,218700,21569.8,8639,1064,2641,260.47,261,32,Clusters of cases
Ecuador,Americas,212512,12045.08,4502,1000,14034,795.44,57,11,Community transmission
Croatia,Europe,212007,51642.68,8045,1170,3961,964.86,413,41,Community transmission
United Arab Emirates,Eastern Mediterranean,207822,21012.49,9387,1730,669,67.64,22,4,Community transmission
Bulgaria,Europe,202266,29109.53,5608,1046,7576,1090.32,553,61,Clusters of cases
Kazakhstan,Europe,200443,10675.09,4227,0,2749,146.4,80,0,Clusters of cases
Belarus,Europe,194284,20560.63,13171,1923,1424,150.7,66,10,Community transmission
Slovakia,Europe,184508,33794.89,18900,4965,2250,412.11,518,112,Clusters of cases
Lebanon,Eastern Mediterranean,181503,26592.11,15570,3507,1455,213.17,102,12,Community transmission
Dominican Republic,Americas,170785,15743.59,7131,1206,2414,222.53,10,5,Community transmission
Costa Rica,Americas,168114,33001.59,6172,1315,2171,426.18,106,15,Community transmission
Denmark,Europe,163479,28223.98,17138,2249,1298,224.09,184,42,Community transmission
Armenia,Europe,158722,53563.61,2646,531,2818,950.99,90,16,Community transmission
Bolivia (Plurinational State of),Americas,158372,13567.35,6308,1485,9149,783.77,84,14,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,155365,30455.28,9943,1268,1529,299.72,165,29,Community transmission
Kuwait,Eastern Mediterranean,150584,35260.86,1567,286,934,218.71,8,1,Community transmission
Republic of Moldova,Europe,144818,35899.68,5383,977,2985,739.97,137,26,Community transmission
Lithuania,Europe,143903,52861.03,17322,3324,1589,583.7,384,131,Community transmission
Qatar,Eastern Mediterranean,143834,49924.11,1229,213,245,85.04,2,0,Community transmission
Tunisia,Eastern Mediterranean,139140,11772.95,12388,1924,4676,395.65,352,56,Community transmission
Greece,Europe,138850,13321.43,4615,932,4838,464.16,381,50,Community transmission
Egypt,Eastern Mediterranean,138062,1349.13,9069,1418,7631,74.57,371,55,Clusters of cases
Guatemala,Americas,138012,7703.47,3118,846,4813,268.65,64,10,Community transmission
Oman,Eastern Mediterranean,128867,25235.25,577,148,1499,293.54,8,2,Community transmission
